sample_index,timestamp_us,slot0_raw,slot1_raw,finger_contact,fifo_ok,fifo_overflow_count
1883,75878374,36286,53591,-1,1,0
1884,75918374,36321,53699,-1,1,0
1885,75958374,36338,53738,-1,1,0
1886,75998374,36358,53810,-1,1,0
1887,76038374,36361,53863,-1,1,0
1888,76078374,36377,53935,-1,1,0
1889,76118374,36410,54011,-1,1,0
1890,76158374,36424,54077,-1,1,0
1891,76198374,36444,54124,-1,1,0
1892,76238374,36451,54173,-1,1,0
1893,76278374,36477,54254,-1,1,0
1894,76318374,36490,54294,-1,1,0
1895,76358374,36445,54155,-1,1,0
1896,76398374,36384,53925,-1,1,0
1897,76438374,36357,53858,-1,1,0
1898,76478374,36383,53925,-1,1,0
1899,76518374,36399,53989,-1,1,0
1900,76558374,36418,54045,-1,1,0
1901,76598374,36426,54106,-1,1,0
1902,76638374,36434,54116,-1,1,0
1903,76678374,36422,54109,-1,1,0
1904,76718374,36432,54132,-1,1,0
1905,76758374,36453,54218,-1,1,0
1906,76798374,36473,54285,-1,1,0
1907,76838374,36471,54315,-1,1,0
1908,76878374,36485,54357,-1,1,0
1909,76918374,36492,54387,-1,1,0
1910,76958374,36497,54418,-1,1,0
1911,76998374,36509,54425,-1,1,0
1912,77038374,36454,54222,-1,1,0
1913,77078374,36391,53994,-1,1,0
1914,77118374,36381,53947,-1,1,0
1915,77158374,36373,53954,-1,1,0
1916,77198374,36369,53998,-1,1,0
1917,77238374,36385,54060,-1,1,0
1918,77278374,36387,54088,-1,1,0
1919,77318374,36398,54094,-1,1,0
1920,77358374,36387,54101,-1,1,0
1921,77398374,36397,54134,-1,1,0
1922,77438374,36401,54181,-1,1,0
1923,77478374,36406,54204,-1,1,0
1924,77518374,36403,54217,-1,1,0
1925,77558374,36408,54236,-1,1,0
1926,77598374,36408,54274,-1,1,0
1927,77638374,36413,54288,-1,1,0
1928,77678374,36369,54160,-1,1,0
1929,77718374,36287,53862,-1,1,0
1930,77758374,36221,53639,-1,1,0
1931,77798374,36193,53599,-1,1,0
1932,77838374,36189,53585,-1,1,0
1933,77878374,36203,53643,-1,1,0
1934,77918374,36225,53721,-1,1,0
1935,77958374,36225,53735,-1,1,0
1936,77998374,36229,53740,-1,1,0
1937,78038374,36231,53773,-1,1,0
1938,78078374,36241,53803,-1,1,0
1939,78118374,36251,53855,-1,1,0
1940,78158374,36264,53891,-1,1,0
1941,78198374,36264,53912,-1,1,0
1942,78238374,36252,53913,-1,1,0
1943,78278374,36251,53924,-1,1,0
1944,78318374,36264,53953,-1,1,0
1945,78358374,36221,53827,-1,1,0
1946,78398374,36111,53457,-1,1,0
1947,78438374,36021,53214,-1,1,0
1948,78478374,35992,53103,-1,1,0
1949,78518374,35978,53065,-1,1,0
1950,78558374,35982,53113,-1,1,0
1951,78598374,36016,53207,-1,1,0
1952,78638374,36028,53247,-1,1,0
1953,78678374,36017,53231,-1,1,0
1954,78718374,36018,53249,-1,1,0
1955,78758374,36037,53337,-1,1,0
1956,78798374,36065,53421,-1,1,0
1957,78838374,36088,53486,-1,1,0
1958,78878374,36096,53539,-1,1,0
1959,78918374,36096,53556,-1,1,0
