sample_index,timestamp_us,ecg_raw,leads_off,adc_ok
966,2456968,2019,0,1
967,2458968,2031,0,1
968,2460968,2054,0,1
969,2462968,2043,0,1
970,2464968,2021,1,1
971,2466968,2011,1,1
972,2468968,1983,0,1
973,2470968,1979,0,1
974,2472969,1978,0,1
975,2474968,2005,0,1
976,2476968,2007,0,1
977,2478968,2029,0,1
978,2480968,2053,0,1
979,2482968,2035,0,1
980,2484968,2008,1,1
981,2486968,2013,1,1
982,2488968,1965,0,1
983,2490968,1948,0,1
984,2492968,1954,0,1
985,2494968,1989,0,1
986,2496968,2008,0,1
987,2498968,2041,0,1
988,2500968,2059,0,1
989,2502968,2066,0,1
990,2504968,2079,1,1
991,2506968,2212,1,1
992,2508968,2455,0,1
993,2510968,2505,0,1
994,2512969,2407,0,1
995,2514968,2246,0,1
996,2516968,2105,0,1
997,2518968,1994,0,1
998,2520968,1931,0,1
999,2522968,1935,0,1
1000,2524968,1919,1,1
1001,2526968,1935,1,1
1002,2528968,1885,0,1
1003,2530968,1886,0,1
1004,2532968,1927,0,1
1005,2534968,1965,0,1
1006,2536968,2005,0,1
1007,2538968,2055,0,1
1008,2540968,2066,0,1
1009,2542968,2066,0,1
1010,2544968,2041,1,1
1011,2546968,2066,1,1
1012,2548968,2063,0,1
1013,2550968,2057,0,1
1014,2552969,2042,0,1
1015,2554968,2031,0,1
1016,2556968,2023,0,1
1017,2558968,2025,0,1
1018,2560968,2031,0,1
1019,2562968,2021,0,1
1020,2564968,2009,1,1
1021,2566968,2030,1,1
1022,2568968,2043,0,1
1023,2570968,2045,0,1
1024,2572968,2057,0,1
1025,2574968,2053,0,1
1026,2576968,2041,0,1
1027,2578968,2037,0,1
1028,2580968,2029,0,1
1029,2582968,2024,0,1
1030,2584968,1989,1,1
1031,2586968,1961,1,1
1032,2588968,1999,0,1
1033,2590968,1995,0,1
1034,2592969,2020,0,1
1035,2594968,2036,0,1
1036,2596968,2044,0,1
1037,2598968,2058,0,1
1038,2600968,2053,0,1
1039,2602968,2035,0,1
1040,2604968,1999,1,1
1041,2606968,2031,1,1
1042,2608968,2056,0,1
1043,2610968,2065,0,1
1044,2612968,2063,0,1
1045,2614968,2045,0,1
1046,2616968,2041,0,1
1047,2618968,2041,0,1
1048,2620968,2024,0,1
1049,2622968,2021,0,1
1050,2624968,2003,1,1
1051,2626968,2020,1,1
1052,2628968,2027,0,1
1053,2630968,2039,0,1
1054,2632969,2042,0,1
1055,2634968,2043,0,1
1056,2636968,2040,0,1
1057,2638968,2030,0,1
1058,2640968,2029,0,1
1059,2642968,2037,0,1
1060,2644968,2004,1,1
1061,2646968,2009,1,1
1062,2648968,2021,0,1
1063,2650968,2027,0,1
1064,2652968,2027,0,1
1065,2654968,2037,0,1
1066,2656968,2027,0,1
1067,2658968,2043,0,1
1068,2660968,2029,0,1
1069,2662968,2039,0,1
1070,2664968,2007,1,1
1071,2666968,2040,1,1
1072,2668968,2063,0,1
1073,2670968,2075,0,1
1074,2672969,2065,0,1
1075,2674968,2055,0,1
1076,2676968,2044,0,1
1077,2678968,2028,0,1
1078,2680968,2019,0,1
1079,2682968,2013,0,1
1080,2684968,2002,1,1
1081,2686968,2031,1,1
1082,2688968,2075,0,1
1083,2690968,2083,0,1
1084,2692968,2075,0,1
1085,2694968,2053,0,1
1086,2696968,2029,0,1
1087,2698968,2031,0,1
1088,2700968,2014,0,1
1089,2702968,2026,0,1
1090,2704968,2031,1,1
1091,2706968,2042,1,1
1092,2708968,2009,0,1
1093,2710968,1996,0,1
1094,2712969,1990,0,1
1095,2714968,1999,0,1
1096,2716968,2011,0,1
1097,2718968,2031,0,1
1098,2720968,2039,0,1
1099,2722968,2043,0,1
1100,2724968,2023,1,1
1101,2726968,2055,1,1
1102,2728968,2041,0,1
1103,2730968,2041,0,1
1104,2732968,2020,0,1
1105,2734968,2020,0,1
1106,2736968,2023,0,1
1107,2738968,2026,0,1
1108,2740968,2025,0,1
1109,2742968,2023,0,1
1110,2744968,2023,1,1
1111,2746968,2038,1,1
1112,2748968,2026,0,1
1113,2750968,2010,0,1
1114,2752969,2023,0,1
1115,2754968,2029,0,1
1116,2756968,2023,0,1
1117,2758968,2042,0,1
1118,2760968,2036,0,1
1119,2762968,2025,0,1
1120,2764968,2010,1,1
1121,2766968,2007,1,1
1122,2768968,2015,0,1
1123,2770968,2005,0,1
1124,2772968,2012,0,1
1125,2774968,2028,0,1
1126,2776968,2025,0,1
1127,2778968,2037,0,1
1128,2780968,2032,0,1
1129,2782968,2045,0,1
1130,2784968,2024,1,1
1131,2786968,2035,1,1
1132,2788968,2005,0,1
1133,2790968,2004,0,1
1134,2792969,2014,0,1
1135,2794968,2014,0,1
1136,2796968,2023,0,1
1137,2798968,2025,0,1
1138,2800968,2036,0,1
1139,2802968,2042,0,1
1140,2804968,2031,1,1
