sample_index,timestamp_us,ecg_raw,leads_off,adc_ok
34447,69418968,3,1,1
34448,69420968,0,1,0
34449,69422968,10,0,1
34450,69424968,0,0,0
34451,69426968,6,0,1
34452,69428968,1,0,1
34453,69430968,3,0,1
34454,69432968,3,0,1
34455,69434968,2,0,1
34456,69436968,4,1,1
34457,69438968,4,1,1
34458,69440968,2,1,1
34459,69442969,13,0,1
34460,69444968,3,0,1
34461,69446968,2,0,1
34462,69448968,3,0,1
34463,69450968,17,0,1
34464,69452968,11,0,1
34465,69454968,7,0,1
34466,69456968,5,1,1
34467,69458968,5,1,1
34468,69460968,7,1,1
34469,69462968,5,0,1
34470,69464968,2,0,1
34471,69466968,1,0,1
34472,69468968,3,0,1
34473,69470968,3,0,1
34474,69472968,5,0,1
34475,69474968,0,0,0
34476,69476968,1,1,1
34477,69478968,0,1,0
34478,69480968,0,1,0
34479,69482969,5,0,1
34480,69484968,2,0,1
34481,69486968,0,0,0
34482,69488968,0,0,0
34483,69490968,0,0,0
34484,69492968,4,0,1
34485,69494968,0,0,0
34486,69496968,0,1,0
34487,69498968,1,1,1
34488,69500968,1,1,1
34489,69502968,0,0,0
34490,69504968,0,0,0
34491,69506968,0,0,0
34492,69508968,1,0,1
34493,69510968,0,0,0
34494,69512968,0,0,0
34495,69514968,3,0,1
34496,69516968,1,1,1
34497,69518968,0,1,0
34498,69520968,5,1,1
34499,69522968,0,0,0
34500,69524968,0,0,0
34501,69526968,1,0,1
34502,69528968,0,0,0
34503,69530968,1,0,1
34504,69532968,1,0,1
34505,69534968,0,0,0
34506,69536968,1,1,1
34507,69538968,3,1,1
34508,69540968,0,1,0
34509,69542968,2,0,1
34510,69544968,0,0,0
34511,69546968,0,0,0
34512,69548968,0,0,0
34513,69550968,0,0,0
34514,69552968,3,0,1
34515,69554968,0,0,0
34516,69556968,2,1,1
34517,69558968,0,1,0
34518,69560968,0,1,0
34519,69562969,4,0,1
34520,69564968,0,0,0
34521,69566968,0,0,0
34522,69568968,0,0,0
34523,69570968,0,0,0
34524,69572968,0,0,0
34525,69574968,0,0,0
34526,69576968,0,1,0
34527,69578968,1,1,1
34528,69580968,0,1,0
34529,69582968,2,0,1
34530,69584968,0,0,0
34531,69586968,0,0,0
34532,69588968,2,0,1
34533,69590968,0,0,0
34534,69592968,1,0,1
34535,69594968,0,0,0
34536,69596968,3,1,1
34537,69598968,0,1,0
34538,69600968,0,1,0
34539,69602969,2,0,1
34540,69604968,0,0,0
34541,69606968,0,0,0
34542,69608968,7,0,1
34543,69610968,0,0,0
34544,69612968,0,0,0
34545,69614968,1,0,1
34546,69616968,1,1,1
34547,69618968,22,1,1
34548,69620968,0,1,0
34549,69622968,1,0,1
34550,69624968,3,0,1
34551,69626968,0,0,0
34552,69628968,12,0,1
34553,69630968,0,0,0
34554,69632968,0,0,0
34555,69634968,0,0,0
34556,69636968,0,1,0
34557,69638968,7,1,1
34558,69640968,0,1,0
34559,69642969,11,0,1
34560,69644968,2,0,1
34561,69646968,0,0,0
34562,69648968,9,0,1
34563,69650968,1,0,1
34564,69652968,0,0,0
34565,69654968,0,0,0
34566,69656968,0,1,0
34567,69658968,10,1,1
34568,69660968,2,1,1
34569,69662968,2,0,1
34570,69664968,1,0,1
34571,69666968,0,0,0
34572,69668968,17,0,1
34573,69670968,0,0,0
34574,69672968,4,0,1
34575,69674968,0,0,0
34576,69676968,0,1,0
34577,69678968,16,1,1
34578,69680968,2,1,1
34579,69682969,0,0,0
34580,69684968,0,0,0
34581,69686968,0,0,0
34582,69688968,11,0,1
34583,69690968,0,0,0
34584,69692968,1,0,1
34585,69694968,3,0,1
34586,69696968,0,1,0
34587,69698968,7,1,1
34588,69700968,0,1,0
34589,69702968,0,0,0
34590,69704968,0,0,0
34591,69706968,0,0,0
34592,69708968,5,0,1
34593,69710968,0,0,0
34594,69712968,0,0,0
34595,69714968,0,0,0
34596,69716968,0,1,0
34597,69718968,11,1,1
34598,69720968,0,1,0
34599,69722969,1,0,1
34600,69724968,0,0,0
34601,69726968,0,0,0
34602,69728968,6,0,1
34603,69730968,1,0,1
34604,69732968,3,0,1
34605,69734968,0,0,0
34606,69736968,0,1,0
34607,69738968,8,1,1
34608,69740968,0,1,0
34609,69742968,3,0,1
34610,69744968,1,0,1
34611,69746968,0,0,0
34612,69748968,8,0,1
34613,69750968,0,0,0
34614,69752968,0,0,0
34615,69754968,0,0,0
34616,69756968,1,1,1
34617,69758968,4,1,1
34618,69760968,0,1,0
34619,69762969,4,0,1
34620,69764968,2,0,1
34621,69766968,0,0,0
34622,69768968,7,0,1
34623,69770968,0,0,0
34624,69772968,0,0,0
34625,69774968,0,0,0
34626,69776968,0,1,0
34627,69778968,8,1,1
34628,69780968,0,1,0
34629,69782968,0,0,0
34630,69784968,0,0,0
34631,69786968,0,0,0
34632,69788968,10,0,1
34633,69790968,4,0,1
34634,69792968,0,0,0
34635,69794968,3,0,1
34636,69796968,0,1,0
34637,69798968,3,1,1
34638,69800968,5,0,1
34639,69802969,3,0,1
34640,69804968,2,0,1
34641,69806968,0,0,0
34642,69808968,0,0,0
34643,69810968,4,0,1
34644,69812968,0,0,0
34645,69814968,0,0,0
34646,69816968,0,1,0
34647,69818968,0,1,0
34648,69820968,7,0,1
34649,69822968,0,0,0
34650,69824968,0,0,0
34651,69826968,0,0,0
34652,69828968,0,0,0
34653,69830968,0,0,0
34654,69832968,0,0,0
34655,69834968,0,0,0
34656,69836968,0,1,0
34657,69838968,0,1,0
34658,69840968,6,0,1
34659,69842969,5,0,1
34660,69844968,0,0,0
34661,69846968,0,0,0
34662,69848968,0,0,0
34663,69850968,1,0,1
34664,69852968,3,0,1
34665,69854968,0,0,0
34666,69856968,0,1,0
34667,69858968,6,1,1
34668,69860968,5,1,1
34669,69862968,0,0,0
34670,69864968,1,0,1
34671,69866968,0,0,0
34672,69868968,4,0,1
34673,69870968,0,0,0
34674,69872968,4,0,1
34675,69874968,0,0,0
34676,69876968,0,1,0
34677,69878968,4,1,1
34678,69880968,7,0,1
34679,69882969,2,0,1
34680,69884968,3,0,1
34681,69886968,0,0,0
34682,69888968,0,0,0
34683,69890968,0,0,0
34684,69892968,0,0,0
34685,69894968,2,0,1
34686,69896968,0,1,0
34687,69898968,0,1,0
34688,69900968,1,0,1
34689,69902968,0,0,0
34690,69904968,0,0,0
34691,69906968,0,0,0
34692,69908968,0,0,0
34693,69910968,0,0,0
34694,69912968,0,0,0
34695,69914968,1,0,1
34696,69916968,0,1,0
34697,69918968,0,1,0
34698,69920968,7,0,1
34699,69922969,0,0,0
34700,69924968,3,0,1
34701,69926968,0,0,0
34702,69928968,2,0,1
34703,69930968,1,0,1
34704,69932968,0,0,0
34705,69934968,0,0,0
34706,69936968,3,1,1
34707,69938968,0,1,0
34708,69940968,3,0,1
34709,69942968,0,0,0
34710,69944968,0,0,0
34711,69946968,0,0,0
34712,69948968,0,0,0
34713,69950968,0,0,0
34714,69952968,0,0,0
34715,69954968,0,0,0
34716,69956968,0,1,0
34717,69958968,0,1,0
34718,69960968,1,1,1
34719,69962969,7,0,1
34720,69964968,0,0,0
34721,69966968,0,0,0
34722,69968968,0,0,0
34723,69970968,0,0,0
34724,69972968,0,0,0
34725,69974968,0,0,0
34726,69976968,0,1,0
34727,69978968,0,1,0
34728,69980968,4,0,1
34729,69982968,0,0,0
34730,69984968,1,0,1
34731,69986968,0,0,0
34732,69988968,0,0,0
34733,69990968,0,0,0
34734,69992968,0,0,0
34735,69994968,0,0,0
34736,69996968,71,1,1
34737,69998968,13,1,1
34738,70000968,7,0,1
34739,70002969,5,0,1
34740,70004968,0,0,0
34741,70006968,231,0,1
34742,70008968,856,0,1
34743,70010968,1460,0,1
34744,70012968,1967,0,1
34745,70014968,2281,0,1
34746,70016968,2271,1,1
34747,70018968,1941,1,1
34748,70020968,1187,1,1
34749,70022968,0,0,0
34750,70024968,1,0,1
34751,70026968,61,0,1
34752,70028968,587,0,1
34753,70030968,1206,0,1
34754,70032968,1811,0,1
34755,70034968,2202,0,1
34756,70036968,2351,1,1
34757,70038968,2267,1,1
34758,70040968,1738,0,1
34759,70042969,424,0,1
34760,70044968,75,0,1
34761,70046968,493,0,1
34762,70048968,1157,0,1
34763,70050968,1709,0,1
34764,70052968,2132,0,1
34765,70054968,2349,0,1
34766,70056968,3016,1,1
34767,70058968,4095,1,0
34768,70060968,4095,0,0
34769,70062968,4095,0,0
34770,70064968,3447,0,1
34771,70066968,2889,0,1
34772,70068968,2402,0,1
34773,70070968,2004,0,1
34774,70072968,1780,0,1
34775,70074968,1707,0,1
34776,70076968,2197,1,1
34777,70078968,3807,1,1
34778,70080968,4095,1,0
34779,70082969,2845,0,1
34780,70084968,1877,0,1
34781,70086968,1484,0,1
34782,70088968,1399,0,1
34783,70090968,1478,0,1
34784,70092968,1675,0,1
34785,70094968,1865,0,1
34786,70096968,2363,1,1
34787,70098968,3517,1,1
34788,70100968,4095,1,0
34789,70102968,2016,0,1
34790,70104968,966,0,1
34791,70106968,722,0,1
34792,70108968,921,0,1
34793,70110968,1269,0,1
34794,70112968,1693,0,1
34795,70114968,2003,0,1
34796,70116968,2491,1,1
34797,70118968,3485,1,1
34798,70120968,3975,0,1
34799,70122969,2159,0,1
34800,70124968,1231,0,1
34801,70126968,999,0,1
34802,70128968,1171,0,1
34803,70130968,1395,0,1
34804,70132968,1723,0,1
34805,70134968,1983,0,1
34806,70136968,2595,1,1
34807,70138968,4095,1,0
34808,70140968,4095,0,0
34809,70142968,2859,0,1
34810,70144968,1948,0,1
34811,70146968,1559,0,1
34812,70148968,1470,0,1
34813,70150968,1509,0,1
34814,70152968,1675,0,1
34815,70154968,1851,0,1
34816,70156968,2525,1,1
34817,70158968,4095,1,0
34818,70160968,4095,1,0
34819,70162969,3029,0,1
34820,70164968,2084,0,1
34821,70166968,1635,0,1
34822,70168968,1500,0,1
34823,70170968,1497,0,1
34824,70172968,1627,0,1
34825,70174968,1811,0,1
34826,70176968,2839,1,1
34827,70178968,4095,1,0
34828,70180968,4095,0,0
34829,70182968,4095,0,0
34830,70184968,4095,0,0
34831,70186968,4095,0,0
34832,70188968,3451,0,1
34833,70190968,2713,0,1
34834,70192968,2166,0,1
34835,70194968,1801,0,1
34836,70196968,2323,1,1
34837,70198968,4095,1,0
34838,70200968,4095,0,0
34839,70202969,4095,0,0
34840,70204968,4095,0,0
34841,70206968,3606,0,1
34842,70208968,2917,0,1
34843,70210968,2312,0,1
34844,70212968,1899,0,1
34845,70214968,1691,0,1
34846,70216968,2055,1,1
34847,70218968,3357,1,1
34848,70220968,4095,0,0
34849,70222968,3431,0,1
34850,70224968,2669,0,1
34851,70226968,2147,0,1
34852,70228968,1847,0,1
34853,70230968,1655,0,1
34854,70232968,1651,0,1
34855,70234968,1733,0,1
34856,70236968,2447,1,1
34857,70238968,4095,1,0
34858,70240968,4095,0,0
34859,70242969,3546,0,1
34860,70244968,2699,0,1
34861,70246968,2141,0,1
34862,70248968,1813,0,1
34863,70250968,1622,0,1
34864,70252968,1629,0,1
34865,70254968,1717,0,1
34866,70256968,2523,1,1
34867,70258968,4095,1,0
34868,70260968,4095,0,0
34869,70262968,3880,0,1
34870,70264968,3028,0,1
34871,70266968,2428,0,1
34872,70268968,2011,0,1
34873,70270968,1727,0,1
34874,70272968,1643,0,1
34875,70274968,1688,0,1
34876,70276968,2549,1,1
34877,70278968,4095,1,0
34878,70280968,4095,0,0
34879,70282969,4095,0,0
34880,70284968,3764,0,1
34881,70286968,3081,0,1
34882,70288968,2513,0,1
34883,70290968,2009,0,1
34884,70292968,1739,0,1
34885,70294968,1637,0,1
34886,70296968,2461,1,1
34887,70298968,4095,1,0
34888,70300968,4095,0,0
34889,70302968,4095,0,0
34890,70304968,3571,0,1
34891,70306968,2919,0,1
34892,70308968,2361,0,1
34893,70310968,1938,0,1
34894,70312968,1703,0,1
34895,70314968,1636,1,1
34896,70316968,2421,1,1
34897,70318968,4095,1,0
