split,windows,subjects,accuracy,balanced_accuracy,precision_stress,recall_stress,f1_stress,auc,tn,fp,fn,tp
validation,42,2,1.0,1.0,1.0,1.0,1.0,1.0,21,0,0,21
test,60,2,0.9333333333333333,0.9333333333333333,0.8823529411764706,1.0,0.9375,1.0,26,4,0,30
