file,window_id,start_sample,end_sample,start_s,end_s,clean_fraction_from_flags,adc_invalid_fraction,rail_fraction,flat_ratio,ecg_morph_rms,ecg_qrs_rms,ecg_qrs_band_ratio,ecg_kurtosis,ecg_skew,qrs_peak_count,reference_good,ecg_good_v01
ecg_raw(7).csv,0,0,2500,0.0,5.0,0.8504,0.0,0.0,0.027210884353741496,40.85978480556625,27.569257031778495,0.9621837180452938,49.02548931656724,5.135262218762927,13,True,True
ecg_raw(7).csv,1,1250,3750,2.5,7.5,0.844,0.0,0.0,0.03441376550620248,32.195583402387996,18.165168385302653,0.9089871242321668,37.91469578134693,3.334768301055292,15,True,True
ecg_raw(7).csv,2,2500,5000,5.0,10.0,0.8428,0.0,0.0,0.03201280512204882,67.62136735052701,23.286770602304912,0.8796736484379499,9.882226802260254,1.2946482884486394,14,True,True
ecg_raw(8).csv,0,0,2500,0.0,5.0,0.8084,0.0,0.0,0.029611844737895156,45.87546128041691,27.404485223444514,0.9275992756237277,21.85397092314731,2.4218475859798154,15,True,True
ecg_raw(8).csv,1,1250,3750,2.5,7.5,0.8124,0.0,0.0,0.024009603841536616,38.867551676474065,21.966314015245796,0.9334159977769926,22.58858721296863,0.6318976625369481,15,True,True
ecg_raw(8).csv,2,2500,5000,5.0,10.0,0.8132,0.0,0.0,0.022809123649459785,40.546562506903996,22.502371847986584,0.9448187623482062,19.497451540819313,0.6145664424641359,15,True,True
ecg_raw(8).csv,3,3750,6250,7.5,12.5,0.8152,0.0,0.0,0.025210084033613446,35.30355203743134,19.282559468531055,0.945301333779117,18.934815073634137,1.1679612899669436,14,True,True
ecg_raw(8).csv,4,5000,7500,10.0,15.0,0.8204,0.0024,0.0024,0.026410564225690276,86.94759572911323,55.67843790972813,0.9750061936359515,103.54902240909698,8.99348632970952,14,True,True
ecg_raw(8).csv,5,6250,8750,12.5,17.5,0.822,0.0024,0.0024,0.02921168467386955,91.38827869715942,58.59828437758785,0.9700918079518921,86.85560276305696,8.129582109796994,14,True,True
ecg_raw(8).csv,6,7500,10000,15.0,20.0,0.82,0.0,0.0,0.026010404161664665,42.48677183782416,26.2880749898835,0.942002316707968,53.13645175948291,4.83684608825515,14,True,True
ecg_raw(8).csv,7,8750,11250,17.5,22.5,0.8232,0.0004,0.0004,0.02040816326530612,57.768977094232056,34.479173891855055,0.9435194791995917,140.67044110597215,9.59863092368881,16,True,True
ecg_raw(8).csv,8,10000,12500,20.0,25.0,0.8264,0.004,0.004,0.021208483393357343,132.07214680478387,66.3952871965236,0.9403657705685784,30.72517219412548,4.58418581773972,12,True,True
