file,window_id,start_sample,end_sample,start_s,end_s,clean_fraction_from_flags,adc_invalid_fraction,rail_fraction,flat_ratio,ecg_morph_rms,ecg_qrs_rms,ecg_qrs_band_ratio,ecg_kurtosis,ecg_skew,qrs_peak_count,reference_good,ecg_good_v01,record_label,r_peak_count_detected,bpm_median,rr_valid_count,rr_sdnn_ms,rr_rmssd_ms
ecg_raw(5).csv,0,0,2500,0.0,5.0,0.8504,0.0,0.0,0.027210884353741496,40.85978480556606,27.5692570317787,0.962183718045293,49.02548931656389,5.135262218762669,13,True,True,ecg_clean_short,5,153.84615384615384,4,416.98401248329253,657.8328055060798
ecg_raw(5).csv,1,1250,3750,2.5,7.5,0.844,0.0,0.0,0.03441376550620248,32.195583402388486,18.16516838530276,0.9089871242321673,37.91469578134571,3.3347683010553397,15,True,True,ecg_clean_short,4,80.21390374331551,2,14.142135623730963,
ecg_raw(5).csv,2,2500,5000,5.0,10.0,0.8428,0.0,0.0,0.03201280512204882,67.62136735052462,23.286770602304763,0.8796736484379502,9.882226802261782,1.2946482884491592,14,True,True,ecg_clean_short,6,79.15567282321899,5,54.41323368446317,74.04052944165103
