time_s,sample_index,timestamp_us,ecg_raw,leads_off,adc_ok,ecg_morph,ecg_qrs,r_peak
0.074,34484,69492968,4,0,1,-219.94191789721302,-1.334448327452098,0
0.076,34485,69494968,0,0,0,-221.97738544109092,-1.2947418323738402,0
0.078,34486,69496968,0,1,0,-224.04402715690182,-1.2350546618001945,0
0.08,34487,69498968,1,1,1,-226.11774548625408,-1.158015955271308,0
0.082,34488,69500968,1,1,1,-228.1844067265343,-1.0662663941524575,0
0.084,34489,69502968,0,0,0,-230.22772592734628,-0.9623445475122486,0
0.086,34490,69504968,0,0,0,-232.22236250424365,-0.8486873790716571,0
0.088,34491,69506968,0,0,0,-234.1500402302906,-0.7280591460312111,0
0.09,34492,69508968,1,0,1,-236.01087320842865,-0.6038177463236579,0
0.092,34493,69510968,0,0,0,-237.81826129702299,-0.47975649086313804,0
0.094,34494,69512968,0,0,0,-239.59811461168275,-0.3599235128369797,0
0.096,34495,69514968,3,0,1,-241.39566760365878,-0.24850190909555142,0
0.098,34496,69516968,1,1,1,-243.25911865051467,-0.14919038321761907,0
0.1,34497,69518968,0,1,0,-245.2184014388422,-0.06451365130430642,0
0.102,34498,69520968,5,1,1,-247.28974249949317,0.0042629389196836565,0
0.104,34499,69522968,0,0,0,-249.462758640131,0.057412747465925174,0
0.106,34500,69524968,0,0,0,-251.68193661968076,0.096965778246207,0
0.108,34501,69526968,1,0,1,-253.88151974233435,0.1257315480099055,0
0.11,34502,69528968,0,0,0,-256.0265753138586,0.14614072078097007,0
0.112,34503,69530968,1,0,1,-258.11340815111697,0.15992896783215882,0
0.114,34504,69532968,1,0,1,-260.1562392643471,0.16819684378061395,0
0.116,34505,69534968,0,0,0,-262.1774281848547,0.1715171700128586,0
0.118,34506,69536968,1,1,1,-264.20896334851193,0.16991991499874182,0
0.12,34507,69538968,3,1,1,-266.29136040375744,0.162993117956299,0
0.122,34508,69540968,0,1,0,-268.4473797034099,0.15049223677930545,0
0.124,34509,69542968,2,0,1,-270.66195326985684,0.1327812253120988,0
