file,window_id,start_sample,end_sample,start_s,end_s,clean_fraction_from_flags,adc_invalid_fraction,rail_fraction,flat_ratio,ecg_morph_rms,ecg_qrs_rms,ecg_qrs_band_ratio,ecg_kurtosis,ecg_skew,qrs_peak_count,reference_good,ecg_good_v01,record_label,r_peak_count_detected,bpm_median,rr_valid_count,rr_sdnn_ms,rr_rmssd_ms
ecg_raw(9).csv,0,0,2500,0.0,5.0,0.5544,0.2372,0.7944,0.14285714285714285,513.7461816741586,113.97988505000923,0.9734516282338523,9.568334914939685,2.0650404884730125,12,False,False,ecg_noisy,1,,0,,
ecg_raw(9).csv,1,1250,3750,2.5,7.5,0.6832,0.0616,0.5772,0.07563025210084033,31.667007443197686,16.934688348746047,0.9482040567220789,6.088470420720906,1.5267960503317386,15,False,False,ecg_noisy,0,,0,,
ecg_raw(9).csv,2,2500,5000,5.0,10.0,0.724,0.0068,0.1752,0.06722689075630252,20.481767822132767,12.519218964763537,0.9709595904803341,7.800476978700212,1.7868842095020623,14,False,False,ecg_noisy,0,,0,,
ecg_raw(9).csv,3,3750,6250,7.5,12.5,0.7324,0.002,0.0044,0.06162464985994398,15.284832685805394,8.40254225370742,0.9639772187942784,14.49834079606557,2.737930425861361,14,False,False,ecg_noisy,0,,0,,
ecg_raw(9).csv,4,5000,7500,10.0,15.0,0.7264,0.0048,0.2592,0.07042817126850741,21.41802798216304,12.102390134790868,0.9775786731796,7.765688933113946,1.5335099241600598,13,False,False,ecg_noisy,0,,0,,
ecg_raw(9).csv,5,6250,8750,12.5,17.5,0.688,0.0532,0.6516,0.0740296118447379,50.89182630667377,30.99306415325121,0.9648254445864674,14.723799625214467,2.636423699032787,14,False,False,ecg_noisy,0,,0,,
ecg_raw(9).csv,6,7500,10000,15.0,20.0,0.632,0.1296,0.7868,0.07362945178071229,64.46862026188815,40.48094325754408,0.9639648076993839,8.367045339559144,1.9706615628383413,15,False,False,ecg_noisy,0,,0,,
ecg_raw(9).csv,7,8750,11250,17.5,22.5,0.444,0.3696,0.7576,0.23729491796718688,73.815241857386,49.64604212197032,0.9698286739784171,5.532575127007079,1.3256856371303716,15,False,False,ecg_noisy,2,55.762081784386616,1,0.0,
ecg_raw(9).csv,8,10000,12500,20.0,25.0,0.2988,0.5388,0.6944,0.3581432573029212,94.44775391297082,64.5155126423836,0.9706460162752285,4.130088011271972,1.0526185531894363,14,False,False,ecg_noisy,3,55.762081784386616,1,0.0,
ecg_raw(9).csv,9,11250,13750,22.5,27.5,0.2804,0.5652,0.702,0.39095638255302123,98.63579183493329,64.83311982068862,0.9593801440155503,3.857522270854523,1.1224905197396016,15,False,False,ecg_noisy,3,166.66666666666669,1,0.0,
