time_s,sample_index,timestamp_us,ecg_raw,leads_off,adc_ok,ecg_morph,ecg_qrs,r_peak
0.31,1121,2766968,2007,1,1,-12.775737183986479,-14.902941966459183,0
0.312,1122,2768968,2015,0,1,-13.556254770589758,-15.83213065351068,0
0.314,1123,2770968,2005,0,1,-12.599666085971975,-16.464212403907354,0
0.316,1124,2772968,2012,0,1,-10.092759422800953,-16.749432943945912,0
0.318,1125,2774968,2028,0,1,-6.6688573301918606,-16.652318651213758,0
0.32,1126,2776968,2025,0,1,-3.252607761408423,-16.14681643845826,0
0.322,1127,2778968,2037,0,1,-0.7751800811980734,-15.20823854780573,0
0.324,1128,2780968,2032,0,1,0.03741597504307004,-13.807462875748202,0
0.326,1129,2782968,2045,0,1,-1.1825023982406684,-11.908545418548348,0
0.328,1130,2784968,2024,1,1,-4.292458774167743,-9.46966366546646,0
0.33,1131,2786968,2035,1,1,-8.578853927962225,-6.449517335647671,0
0.332,1132,2788968,2005,0,1,-12.852416930549495,-2.8199495842779303,0
0.334,1133,2790968,2004,0,1,-15.738536563324882,1.4159570730473003,0
0.336001,1134,2792969,2014,0,1,-16.0795786577857,6.20422792665703,0
0.338,1135,2794968,2014,0,1,-13.106421619356677,11.428070587984735,0
0.34,1136,2796968,2023,0,1,-6.307877520643066,16.90725020913101,0
0.342,1137,2798968,2025,0,1,4.666180883608568,22.40363893898501,0
0.344,1138,2800968,2036,0,1,19.88209108417429,27.630142363747556,0
0.346,1139,2802968,2042,0,1,38.79961038844695,32.26373863723271,0
0.348,1140,2804968,2031,1,1,59.689633568666004,35.96116214898081,0
0.35,1141,2806968,2121,1,1,78.99419150735046,38.379768960273715,0
0.352,1142,2808968,2183,0,1,91.72038648905259,39.221581891493486,0
0.354,1143,2810968,2199,0,1,93.54424238756326,38.307542355761086,0
0.356,1144,2812968,2142,0,1,83.16058457641158,35.645045192162904,0
0.358,1145,2814968,2100,0,1,62.895750625824654,31.442932562277758,0
0.36,1146,2816968,2038,0,1,37.4520602452136,26.069309561252904,0
0.362,1147,2818968,2005,0,1,11.965646948559879,19.979165456962832,0
0.364,1148,2820968,1995,0,1,-9.590281111229707,13.639814611734707,0
0.366,1149,2822968,2007,0,1,-25.030404913219634,7.475059990777913,0
0.368,1150,2824968,1970,1,1,-33.637902661982174,1.834428413588597,0
0.37,1151,2826968,1983,1,1,-35.740766571666086,-3.024896666449905,0
0.372,1152,2828968,2003,0,1,-32.59120396327069,-6.949801262165632,0
0.374,1153,2830968,2005,0,1,-26.072091455635913,-9.887571443583502,0
0.376001,1154,2832969,2025,0,1,-18.14921574526433,-11.867183420382993,0
0.378,1155,2834968,2022,0,1,-10.463315835370008,-12.976424852326174,0
0.38,1156,2836968,2035,0,1,-4.1648336508080455,-13.340344828377251,0
0.382,1157,2838968,2039,0,1,0.12541630099440404,-13.101825322019685,0
0.384,1158,2840968,2030,0,1,2.31174029442016,-12.405000540389022,0
0.386,1159,2842968,2041,0,1,2.7423354291968702,-11.383626771957047,0
0.388,1160,2844968,2010,1,1,1.9997387386410317,-10.155954694104242,0
0.39,1161,2846968,2038,1,1,0.5906979949352991,-8.825279916299795,0
0.392,1162,2848968,2031,0,1,-1.217625437247242,-7.480561246739553,0
0.394,1163,2850968,2028,0,1,-3.2191957516826903,-6.192493990615149,0
0.396,1164,2852968,2024,0,1,-5.065697900550164,-5.010736478123023,0
0.398,1165,2854968,2012,0,1,-6.340301781459284,-3.9677252276644737,0
0.4,1166,2856968,2011,0,1,-6.833675890729319,-3.086885032791063,0
0.402,1167,2858968,2031,0,1,-6.778320511595861,-2.3896117107020975,0
0.404,1168,2860968,2029,0,1,-6.72394476668189,-1.8943086551631554,0
0.406,1169,2862968,2037,0,1,-7.0894660089741635,-1.6083744392050956,0
0.408,1170,2864968,2011,1,1,-7.848237911467338,-1.522797426432533,0
0.41,1171,2866968,2027,1,1,-8.62081901139606,-1.6152813184931933,0
0.412,1172,2868968,2015,0,1,-8.946917595581484,-1.8573429496331948,0
0.414,1173,2870968,2009,0,1,-8.477989360765335,-2.2197252306746185,0
0.416001,1174,2872969,2020,0,1,-7.165350045326086,-2.6768972099135553,0
0.418,1175,2874968,2022,0,1,-5.38420767368195,-3.208996290038126,0
0.42,1176,2876968,2021,0,1,-3.8515153166030993,-3.798441329984816,0
0.422,1177,2878968,2037,0,1,-3.4563537117475347,-4.424197435651951,0
0.424,1178,2880968,2041,0,1,-4.988080958769434,-5.054580180720634,0
0.426,1179,2882968,2036,1,1,-8.695661616504538,-5.638710614917981,0
0.428,1180,2884968,2012,1,1,-13.999585477065313,-6.104112577947874,0
0.43,1181,2886968,2018,1,1,-19.63653911073909,-6.366247074584714,0
0.432,1182,2888968,1991,0,1,-24.03834982071655,-6.345096446647706,0
0.434,1183,2890968,1983,0,1,-25.776883930669715,-5.983415776369189,0
0.436,1184,2892968,1991,0,1,-24.10432044166953,-5.264665514123964,0
0.438,1185,2894968,1998,0,1,-19.329492434198492,-4.223251429866002,0
0.44,1186,2896968,2024,0,1,-12.737841652200329,-2.9401613092000742,0
0.442,1187,2898968,2035,0,1,-6.104041686865292,-1.5254692559550476,0
0.444,1188,2900968,2040,0,1,-1.0553516903286886,-0.09484291410539392,0
0.446,1189,2902968,2063,0,1,1.4692730814360093,1.2522655862142589,0
0.448,1190,2904968,2018,1,1,1.53306672316244,2.447500664225789,0
0.45,1191,2906968,2025,1,1,0.01541122661407468,3.454633763579351,0
0.452,1192,2908968,2024,0,1,-2.0328278949217546,4.257566569148419,0
0.454,1193,2910968,2021,0,1,-3.8392288696544288,4.849410223170924,0
0.456001,1194,2912969,2022,0,1,-4.950721327868821,5.228478560198759,0
0.458,1195,2914968,2012,0,1,-5.222423072577338,5.395471638740169,0
0.46,1196,2916968,2023,0,1,-4.899707343976321,5.349790740925259,0
0.462,1197,2918968,2041,0,1,-4.577508823075311,5.089524580466355,0
0.464,1198,2920968,2029,0,1,-4.837780539618881,4.618699961647278,0
0.466,1199,2922968,2037,0,1,-5.825912620064846,3.9558311684452065,0
0.468,1200,2924968,2005,1,1,-7.182520836063789,3.134751964472776,0
0.47,1201,2926968,2024,1,1,-8.369334963250267,2.1967545270707327,0
0.472,1202,2928968,2019,0,1,-9.020100622148679,1.1817985512231006,0
0.474,1203,2930968,2012,0,1,-9.015526911275362,0.12547699457140649,0
0.476,1204,2932968,2021,0,1,-8.467218532130165,-0.9413583413408312,0
0.478,1205,2934968,2019,0,1,-7.7505922078468785,-1.9929262620174357,0
0.48,1206,2936968,2020,0,1,-7.467047506931115,-3.006694269645987,0
0.482,1207,2938968,2037,0,1,-8.308322155957788,-3.959497891917055,0
0.484,1208,2940968,2025,0,1,-10.785568555532775,-4.821816568888321,0
0.486,1209,2942968,2037,0,1,-14.872172460518163,-5.552218025061333,0
0.488,1210,2944968,2009,1,1,-19.77300088756466,-6.096864854997909,0
0.49,1211,2946968,1998,1,1,-24.0295036232472,-6.398049142315244,0
0.492,1212,2948968,1988,0,1,-26.0286966625595,-6.411747272361854,0
0.494,1213,2950968,1975,0,1,-24.697112061505393,-6.127556413652449,0
0.496001,1214,2952969,1998,0,1,-20.08036641706994,-5.582590657969902,0
0.498,1215,2954968,2027,0,1,-13.462314990398871,-4.860892196905896,0
0.5,1216,2956968,2035,0,1,-6.789468915080961,-4.073904322390113,0
0.502,1217,2958968,2043,0,1,-1.8148264181064633,-3.3322088978226736,0
0.504,1218,2960968,2041,0,1,0.4337222350463845,-2.7235266897919974,0
0.506,1219,2962968,2057,0,1,-0.14714410760481111,-2.300005492569625,0
0.508,1220,2964968,2010,1,1,-2.6953673710812365,-2.073138478666693,0
0.51,1221,2966968,2019,1,1,-5.726405079881032,-2.02097044021056,0
0.512,1222,2968968,2007,0,1,-7.839256877261669,-2.1059057763683895,0
0.514,1223,2970968,2008,0,1,-8.259611750318523,-2.290545300722093,0
0.516,1224,2972968,2017,0,1,-7.024602349644341,-2.5455324267222093,0
