time_s,sample_index,timestamp_us,slot0_raw,slot1_raw,finger_contact,fifo_ok,fifo_overflow_count,slot0_dc,slot0_ac,slot1_dc,slot1_ac,slot0_peak,slot1_peak
0.64,1742,70238374,34189,47700,-1,1,0,34099.93406218184,93.98691556678637,46444.87067126521,1202.8716324854713,0,0
0.68,1743,70278374,34361,48275,-1,1,0,34120.3809099186,198.6081077055468,46407.73865230399,1966.4246744841735,0,0
0.72,1744,70318374,34510,48761,-1,1,0,34149.07634329979,344.4912945792033,46397.68158065015,2455.3715075688315,0,0
0.76,1745,70358374,34659,49204,-1,1,0,34185.25910580335,445.80811005509713,46411.750277227744,2860.667656461214,0,0
0.8,1746,70398374,34775,49527,-1,1,0,34228.25660163389,533.8491327041078,46447.57766046148,3209.1404634361506,0,0
0.84,1747,70438374,34919,49917,-1,1,0,34277.5114750238,632.2979545769058,46503.48297987435,3529.464348483841,1,0
0.88,1748,70478374,34996,50044,-1,1,0,34332.60370928139,610.5103910134983,46578.55521765982,3554.019923648018,0,1
0.92,1749,70518374,34918,49637,-1,1,0,34393.265076683485,516.6426415112252,46672.70461613481,2992.232192811166,0,0
0.96,1750,70558374,34708,48874,-1,1,0,34459.37526342388,321.2855254637419,46786.647849388544,2242.4518852460587,0,0
1.0,1751,70598374,34418,47917,-1,1,0,34530.928723062316,-401.051163943644,46921.7973301734,1076.03868268922,0,0
1.04,1752,70638374,33355,45543,-1,1,0,34607.95985276216,-1003.5386971235303,47080.0400564515,-1820.9377724132303,0,0
1.08,1753,70678374,34262,41017,-1,1,0,34690.4309996694,-533.3437222748008,47263.33964823838,-5824.796534808944,0,0
1.12,1754,70718374,34409,38983,-1,1,0,34778.15090828289,-499.8165379143032,47473.085822058565,-8812.511044268525,0,0
1.16,1755,70758374,33024,38314,-1,1,0,34870.7556842631,-1916.3055333339216,47709.32107389823,-9509.963740370065,0,0
1.2,1756,70798374,32360,40972,-1,1,0,34967.643654952204,-2351.8977883245307,47970.17576601624,-6566.5049551306465,0,0
1.24,1757,70838374,34646,47526,-1,1,0,35067.83965928866,-737.1383292549394,48251.81713212646,-1234.4571654116448,0,0
1.28,1758,70878374,35748,50533,-1,1,0,35169.98449718794,648.8426349051431,48549.018290912114,2149.0191747778417,0,0
1.32,1759,70918374,36067,51448,-1,1,0,35272.53562661756,819.0648913760133,48856.0632901402,2648.3378895784685,1,1
1.36,1760,70958374,36177,51744,-1,1,0,35373.99992093028,755.1645260692649,49167.470359618215,2530.103684480061,0,0
1.4,1761,70998374,36266,52007,-1,1,0,35473.05130274324,795.7631400043786,49478.31544799707,2560.3859358705595,0,0
1.44,1762,71038374,36345,52243,-1,1,0,35568.55988838106,774.2949179759784,49784.30723706139,2494.178200632094,0,0
