file,window_id,start_sample,end_sample,start_s,end_s,clean_fraction_from_flags,adc_invalid_fraction,rail_fraction,flat_ratio,ecg_morph_rms,ecg_qrs_rms,ecg_qrs_band_ratio,ecg_kurtosis,ecg_skew,qrs_peak_count,reference_good,ecg_good_v01,record_label,r_peak_count_detected,bpm_median,rr_valid_count,rr_sdnn_ms,rr_rmssd_ms
ecg_raw(8).csv,0,0,2500,0.0,5.0,0.8084,0.0,0.0,0.029611844737895156,45.8754612804169,27.404485223444386,0.9275992756237302,21.853970923148307,2.4218475859800614,15,True,True,ecg_clean_long,2,115.38461538461539,1,0.0,
ecg_raw(8).csv,1,1250,3750,2.5,7.5,0.8124,0.0,0.0,0.024009603841536616,38.8675516764736,21.96631401524595,0.9334159977769924,22.588587212970555,0.6318976625370557,15,True,True,ecg_clean_long,0,,0,,
ecg_raw(8).csv,2,2500,5000,5.0,10.0,0.8132,0.0,0.0,0.022809123649459785,40.54656250690376,22.502371847986986,0.9448187623482055,19.49745154081999,0.6145664424641891,15,True,True,ecg_clean_long,0,,0,,
ecg_raw(8).csv,3,3750,6250,7.5,12.5,0.8152,0.0,0.0,0.025210084033613446,35.30355203743175,19.28255946853126,0.9453013337791184,18.934815073633388,1.167961289966969,14,True,True,ecg_clean_long,0,,0,,
ecg_raw(8).csv,4,5000,7500,10.0,15.0,0.8204,0.0024,0.0024,0.026410564225690276,86.94759572911343,55.67843790972977,0.9750061936359521,103.54902240909492,8.993486329709373,14,True,True,ecg_clean_long,1,,0,,
ecg_raw(8).csv,5,6250,8750,12.5,17.5,0.822,0.0024,0.0024,0.02921168467386955,91.38827869715963,58.59828437758955,0.9700918079518934,86.85560276305668,8.129582109796981,14,True,True,ecg_clean_long,2,,0,,
ecg_raw(8).csv,6,7500,10000,15.0,20.0,0.82,0.0,0.0,0.026010404161664665,42.48677183782466,26.28807498988385,0.9420023167079679,53.1364517594785,4.836846088254911,14,True,True,ecg_clean_long,1,,0,,
ecg_raw(8).csv,7,8750,11250,17.5,22.5,0.8232,0.0004,0.0004,0.02040816326530612,57.76897709423338,34.479173891855474,0.9435194791995897,140.67044110595083,9.598630923687734,16,True,True,ecg_clean_long,1,,0,,
ecg_raw(8).csv,8,10000,12500,20.0,25.0,0.8264,0.004,0.004,0.021208483393357343,132.0721468047877,66.39528719652606,0.9403657705685813,30.725172194120066,4.5841858177390895,12,True,True,ecg_clean_long,2,,0,,
ecg_raw(8).csv,9,11250,13750,22.5,27.5,0.8344,0.0036,0.0036,0.022809123649459785,122.35326460412729,59.50348809571688,0.935505365508153,34.74475952953241,4.778861131210252,12,True,True,ecg_clean_long,1,,0,,
